codigo;marcaDeTiempo;mensaje;indicesFicherosModificados
sqgzlzwc;20050103204828;Final commit, ready for tagging;178,100
o56a5c5x;20110703231700;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;37,42
uap5wtpt;20000506101340;For real, this time.;88
4ri1dx4h;19970628232021;added security.;173,107,123,58,119
3v4bilhl;20141219160852;Committed some changes;66,49,191,68,89,92
iqoy9i4c;20010710045223;Do things better, faster, stronger;60,39,34
zcn5sx9n;19900714083732;pointless limitation;17,99,136,92,194,166
2id488xt;20070505000904;Made it to compile...;123,43,97,173,48
whu2s5h8;20071012014548;For real, this time.;124,32,130,112,45
y9gf73hu;19940128132153;To those I leave behind, good luck!;34
l6d7d75m;20150806213946;bugger;21
2ukybnti;19980705174210;fix;30,111,108,185,45
dcpbr7kb;20090401144055;It was the best of times, it was the worst of times;123,121,46
svg4ucdq;20070820014339;My bad;176,89,22
qjivlfee;19950530074220;This solves it.;115
ypf2rmdy;19911122050720;Removed code.;49,45,104,140
2j9mble1;20011228125757;Another bug bites the dust;46,176,15
6i5s1851;20030329063832;grmbl;198,38,199,80,68,36,183
zv5x09wo;19950904112658;I expected something different.;35,19,80
ln6fp7xn;20111129100324;fix tpyo;162,122
50yuk903;20010620091036;ALL SORTS OF THINGS;61,10,185
18fa08ch;19950409153342;I am sorry;41,135
xvisf9u6;19950829032659; - Temporary commit.;166,54,173,22
kxu24h5p;20121021183236;syntax;107,178
kk13t270;20000626200113;needs more cow bell;162,70
cg6nkvk5;20101216113203;I would rather be playing SC2.;32
yh9qn9z2;20110707131745;Update .gitignore;58,158,31,178
6ibe2srt;19980810215747;Batman! (this commit has no parents);2,162,94,62
njwn527e;19910318165216;and so the crazy refactoring process sees the sunlight after some months in the dark!;163
hl5h7zx7;20080513120912;Fixed errors;82,107,111,160
3m6ysthb;20020719193853;Add Sandbox;17,152,113
ok2hw4ut;19970702143532;de-misunderestimating;95,127,146,94
47nk3t4y;20010412141105;I don't know what these changes are supposed to accomplish but somebody told me to make them.;121,137,115,39,174,129,158
5ufix3ms;19910918215026;I would rather be playing SC2.;65,63,123
h0ibmr8p;20141106200053;woa!! this one was really HARD!;91,80,193,11,178
yg8g8e5s;19960702201204;first blush;191,127,97,106
n73mzqry;19920603234141;Same as last commit with changes;41,47
f0u971op;19901122020600;Too tired to write descriptive message;123,71,189,120,170
8bp56yk9;20160510013742;final commit.;164,108,15,76,92,136
