codigo;marcaDeTiempo;mensaje;indicesFicherosModificados
szwe6nay;19990725002317;Final commit, ready for tagging;128,103
yriy39fp;20150614224356;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;149,137,11,162,186,102,29
xyqskxky;19930207025838;For real, this time.;6,169
jelnppn9;20020804133125;added security.;81
38qr76h5;19940417094933;Committed some changes;25,54,196
q45srlln;19950115085712;Do things better, faster, stronger;96,102
v795xh53;20090906053838;pointless limitation;70,147,105,153,54,162,138
yrz8zast;19930530162607;Made it to compile...;86,147,7
ilgxdq8r;20150426023153;For real, this time.;51,35,159
6c4tw452;19910811110421;To those I leave behind, good luck!;36,66,82,168,154,51
046jd0xf;20110227022140;bugger;155,10,199
tgv1jg5t;20150104085706;fix;36,15,41,164,178
0u1z8vz9;19920927110452;It was the best of times, it was the worst of times;200,19,83,24,87,157,49
9fug6rt2;20150503114843;My bad;8,73,25
ucgelulj;20020324061018;This solves it.;5,49
plx52gwo;19931226085414;Removed code.;136,144,187,38,156,81
tq8rv7sf;20060326112001;Another bug bites the dust;112,45,75,144
mk7xury7;19930801071320;grmbl;98
wpztecij;19900408060558;I expected something different.;30,58,106
uycfujms;20110626183651;fix tpyo;125,173
012fkwqo;19960303132653;ALL SORTS OF THINGS;184,180,117,185
r13bqnvn;20100711085345;I am sorry;86,191,84,182,147,63
2qdtfn8w;20141207144347;Temporary commit.;132,151,68,153,186,184,158
8q415k3a;19950402040501;syntax;155,152,17,122,118
g8nist3v;20150802040938;needs more cow bell;184,115,113,134,58,102
qjks9uqk;20070715054550;I would rather be playing SC2.;157
wlja652e;20060917225717;Update .gitignore;11,1,23,77,18,29,3
44j2ozt9;20040613042936;Batman! (this commit has no parents);89,146
lu63my80;20040215104514;and so the crazy refactoring process sees the sunlight after some months in the dark!;189,29,56,91
3yd30t53;20000806132131;Fixed errors;114,153
a1c7z54m;20140119001947;Add Sandbox;115,107,173,186
612m7ond;20130929052924;de-misunderestimating;91,50,129,85,161,85
ig8bjtz5;20110619111122;I don't know what these changes are supposed to accomplish but somebody told me to make them.;38,181,116
itgjjzdv;19951001182756;I would rather be playing SC2.;123,189
rybd5b2g;19960204171544;woa!! this one was really HARD!;49,98,190,8,107
8phh75c7;19930905012320;first blush;67,151,89
zrfxaua5;20030928052847;Same as last commit with changes;142,189,89,144
kb2bij1s;20000625074144;Too tired to write descriptive message;144,33,200
x30eq9nk;19940918154409;final commit.;77,64,85,156,95,178
elzgi5wn;20001231134400;restored deleted entities just to be sure;152,64,200,75,130,150
uyfh82ni;20000709060345;some brief changes;32,95,141,108,8,199
na045fo4;20010107165023;One does not simply merge into master;84,119,82
t7zy8z32;19981004155057;fixed some minor stuff, might need some additional work.;134
84nidtb6;19951224081238;yo recipes;132,101,196,195,188,190,4
8323ahzv;20041226045510;You can't see it, but I'm making a very angry face right now;3,54,68,155,64,165,55
ot3vsdtt;20120812141932;better ignores;145,59,96,160,111,112,19
h0krd8ml;19950730192350;Obligatory placeholder commit message;51,47,33,115,3,192,183
dqw9x4ef;20110612004352;i think i fixed a bug...;172,131,177,14
1aur5psz;19980607155118;pep8 - cause I fell like doing a barrel roll;85,100,128,76,47
t7e7stkv;20110424064646;Final commit, ready for tagging;134
zt89if0k;20071021162214;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;140,59,88,197,195
9yie99oz;19951022014519;For real, this time.;131,4,94,82,111,32
d44dd00a;20120101181318;added security.;22,75,28,90,16,61,51
b32cosn6;20100418134626;Committed some changes;7,112,23
r1iljwkx;19930905154735;Do things better, faster, stronger;162,48,42,91
0hszaexq;20060402022835;pointless limitation;70,155
oijbre0b;19960331030624;Made it to compile...;117,92,140,26,75
i5wz1wr9;20130929002819;For real, this time.;179
vawwrut5;19921018194232;To those I leave behind, good luck!;34
ouhecgwm;19920412021109;bugger;100,102,116,39
d1eem6n1;20080921003609;fix;125,76,102,44,172,167,152
ue5cjjv9;19950903001137;It was the best of times, it was the worst of times;54
nekxpvte;19980719141946;My bad;146,53
n6oasibf;20050612064518;This solves it.;101,109,49,50,74,154
4hagdjn1;20090920022712;Removed code.;137,187,34,18,133,95
qlu36br0;20140824112106;Another bug bites the dust;181,136,194,33
s0gmlipg;20000102193716;grmbl;117,178
np0qz8bi;20010325035926;I expected something different.;68,20
ouw30vl6;20040222162647;fix tpyo;38,40,167,150
0sucsilv;19990117013740;ALL SORTS OF THINGS;41,73
81ytn95h;20090712093207;I am sorry;35
1du6ms84;20091206211324; - Temporary commit.;186,32,9,27
q9jz1mmx;20050904014617;syntax;85,1,91,78,50,188
utp0h51d;20070812120200;needs more cow bell;178,18
8j95katc;19910210023230;I would rather be playing SC2.;145
jxoect5v;20070916100103;Update .gitignore;1,125
yzrx6tqp;19961229032854;Batman! (this commit has no parents);166,71,98,137,65
ef2l1nxa;19901230155309;and so the crazy refactoring process sees the sunlight after some months in the dark!;138,32,85,110,145,140
fl4mtzjo;20020224203225;Fixed errors;197
5dic4dqh;20100919071600;Add Sandbox;29,157,65
fov27zr2;20050710042637;de-misunderestimating;200,110,200
kky95lyy;20060611055404;I don't know what these changes are supposed to accomplish but somebody told me to make them.;37,161,154
