54.213.42.76|9362->4,3718->0,5950->4,14345->5,13549->2,3962->3,27376->3,27528->5,7036->1,21651->3,3062->4,16173->4,10129->5,11379->5,11651->4,21866->5,4478->5,4874->0,30603->1,14687->2,29321->1,29375->5,6395->1,20804->3,13917->1,344->2,27235->2,22818->3,12773->3,7114->0,5395->3,4780->2,20680->4,6232->1
54.224.166.141|15486->2,28947->5,1327->3,461->4,28771->2,7024->5,23655->3,423->5,20563->3,4577->4,27255->1,3278->2,11565->4,11419->3,5675->1,32702->5,7456->5,13839->4,31222->3,20770->3,1600->1,7275->0,26425->2,12618->1,13748->2,11985->2,20611->2,28506->0,27073->4,13275->2,11899->0,26663->0,12320->0,17499->1,27471->3,2531->0
54.234.9.171|8493->0,13016->5,14088->5,16028->4,3025->1,4015->1,26254->3,16666->5,29128->5,24088->4,3478->0,1674->3,10132->2,23957->4,10895->1,15528->2,1455->3,28158->3,22443->4,10100->0,23757->2,29379->3,6394->0,8441->2,13043->2,29349->1,18009->2,27667->2,18780->4,5501->2,5394->2,12774->3,14786->1,10314->1,3124->5,24069->2,32643->0,10860->3,15769->2,1869->5,1193->5,20401->0,17397->1,20008->5,23749->5,10646->2
54.235.92.134|29982->5,14089->5,22063->3,31104->5,22682->4,18748->0,24705->5,26271->5,12436->0,3483->3,21617->4,10128->0,7137->2,11432->3,25525->3,10932->2,9735->2,30804->5,21921->0,26004->0,29377->3,15554->3,20805->5,8205->3,324->3,8905->0,4382->3,13162->2,2593->3,19823->5,408->0,4936->0,22857->4,23178->4,32158->5,32622->2,8743->2,4540->3
54.235.92.198|4373->0,31670->0,21164->4,9807->2,6719->0,21276->1,7343->0,16140->4,16989->5,27157->4,16126->3,16303->0,11779->5,8230->1,11412->1,6114->1,29738->2,25402->4,26097->0,28603->1,29374->2,18224->2,12817->0,22395->3,20972->2,4123->1,32544->3,31923->2,27955->5,24509->5,16018->2,26888->3,23623->3,30377->4,17887->4,32340->4,9348->4,29757->4,29820->2,2154->3,25638->0,14146->4,29446->1,2057->5,26500->3,23592->1
54.235.93.193|31142->2,27465->4,20480->5,13232->0,3755->0,575->5,23927->1,12669->1,4177->3,3482->0,25839->4,10131->1,3918->1,26180->1,21123->5,4775->1,29739->4,19510->4,16290->1,1748->1,31192->3,18535->4,28790->0,25524->2,12029->2,26879->1,13634->5,18792->3,19961->5,21236->5,11246->4,32189->5,10550->1,7214->1,30703->3,32658->1,30578->5,31448->2,8165->0,233->2,27820->2,217->5,27292->1,27084->4,26502->4,2012->4,7462->3,3957->3,18878->2,7564->4,19896->2,8303->4,29075->0,13963->3,16286->0,8917->0,11941->4,4066->3,30709->3
aaaa|3747->5,15260->3,3128->5,29413->4,13547->0,27892->5,18892->0,13557->1,22046->5,17950->1,2849->1,10933->5,6139->2,10554->2,30249->1,19238->3,20019->0,27667->1,27800->2,10173->4,21202->0,5832->3,16803->3,24572->3,1198->2,20154->5,32301->1,25114->3,13477->2,13654->5,3171->2,1134->5,28333->3,23795->5,25667->4,15113->3,22256->4,7517->4,27097->4,3230->3,14906->3,6734->4,22219->0,1094->3,27328->4,7697->1,10203->1,28679->2,32288->3,32156->1,11223->0,12271->1,6400->3,6900->4,6659->4,12237->5,20685->1,16900->3,1110->0,17755->2,2808->3,14503->0,1357->1,25760->4,10857->0,30789->3,14544->1,11730->4,17042->5,2096->4,27791->0,16831->3,25544->0,26269->4,23246->4,27910->4,28439->0,25746->3
aalloon243|21397->5,1587->1,17155->4,21617->1,19500->0,29655->5,20135->5,29046->4,31521->1,1602->4,15625->3,24496->5,22346->5,24514->3,21927->2,30473->5,1387->2,24756->4,2097->1,3442->4,217->0,29796->4,2050->2,21980->2,21074->5
aappoklooni1|337->0,15926->3,18494->0,28163->3,15962->4,29378->2
AaronC_101|14360->3,22838->4,12896->4,23631->2,26031->1,3256->3,22042->5,24942->4,18059->3,11415->2,10933->1,28153->0,15129->1,2963->5,29378->3,22012->5,23189->0,19432->4,15101->1,13634->3,30878->0,28582->5,5057->5,20680->4,3904->2,3410->5,29462->0,2620->2,27210->1,9437->2,22038->2,18209->5,20008->4,17751->0,8413->5,1262->5,24757->1,27336->4,31612->1,19778->5,5188->4,19014->3,11627->5,549->3,301->0,22669->0,1534->3,27095->5,5128->2,3653->2,30561->0,18778->3,16024->1,4133->0
